City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,barnala,30.3833,75.55,29.14,78,100,5.77,IN,1692736178
338,bomdila,27.25,92.4,15.53,99,100,0.64,IN,1692736183
339,merizo village,13.2658,144.6691,28.32,93,94,2.17,GU,1692736183
340,haiku-pauwela,20.9219,-156.3051,30.01,45,20,9.77,US,1692736183
341,dalnerechensk,45.9339,133.7225,20.16,99,100,2.73,RU,1692736183
342,cuito,-12.3833,16.9333,19.47,19,0,0.49,AO,1692736184
343,timbuktu,16.7735,-3.0074,37.82,26,12,1.72,ML,1692736131
344,yigo village,13.5361,144.8886,27.63,87,0,4.12,GU,1692736184
345,pauri,30.15,78.7833,20.77,98,100,0.55,IN,1692736166
346,yueyang,29.3333,113.0919,24.49,87,0,1.2,CN,1692736097
347,stryi,49.2622,23.8561,20.05,69,11,1.61,UA,1692736184
348,salekhard,66.53,66.6019,9.61,85,99,4.41,RU,1692736185
349,gbongan,7.4667,4.35,26.89,96,100,1.46,NG,1692736185
350,atafu village,-8.5421,-172.5159,27.69,77,3,9.4,TK,1692736185
351,hell-ville,-13.4,48.2667,25.61,69,62,2.03,MG,1692736185
352,lubu,23.1742,112.2809,25.72,96,95,0.39,CN,1692736186
353,gunupur,19.0833,83.8167,27.23,89,100,0.49,IN,1692736186
354,sao borja,-28.6606,-56.0044,30.53,47,0,4.43,BR,1692736186
355,mindelo,16.8901,-24.9804,28.75,74,75,2.06,CV,1692736186
356,nabire,-3.3667,135.4833,23.58,95,100,1.66,ID,1692736186
357,zahedan,29.4963,60.8629,26.95,22,2,4.12,IR,1692736187
358,hirara,24.8,125.2833,26.92,94,20,3.6,JP,1692736187
359,nema,57.5067,50.5011,11.46,80,100,2.52,RU,1692736187
360,hastings,50.8552,0.5729,19.38,36,9,5.0,GB,1692736187
361,bowen,-20.0167,148.2333,16.2,90,21,3.09,AU,1692736187
362,campos do jordao,-22.7394,-45.5914,24.35,35,0,1.76,BR,1692736187
363,laguna,38.421,-121.4238,32.41,42,0,2.06,US,1692736038
364,polyarnyy,69.1989,33.4478,8.54,87,100,1.35,RU,1692736011
